卡池,名称,等级,初始张数
锻玄宗,崩灭心法,4,8
锻玄宗,崩拳•寸劲,4,8
锻玄宗,崩拳•连崩,4,8
锻玄宗,锻髓,4,8
锻玄宗,鹤步,4,8
锻玄宗,灵玄迷踪步,4,8
锻玄宗,冥影身法,4,8
锻玄宗,玄手夺魄,4,8
锻玄宗,冲霄破浪,4,8
锻玄宗,磅礴之势,4,8
锻玄宗,,,
锻玄宗,,,
锻玄宗,崩拳•闪击,5,6
锻玄宗,崩拳•惊触,5,6
锻玄宗,锻神开海,5,6
锻玄宗,百杀破境掌,5,6
锻玄宗,修罗吼,5,6
锻玄宗,玄心斩魄,5,6
锻玄宗,威震四方,5,6
锻玄宗,天地浩荡,5,6
锻玄宗,,,
锻玄宗,,,
锻玄宗,,,
锻玄宗,,,
炼丹师,地灵丹,1,8
炼丹师,培元丹,1,8
炼丹师,小还丹,1,8
炼丹师,锻体丹,2,4
炼丹师,飞云丹,2,8
炼丹师,驱邪丹,2,8
炼丹师,还魂丹,3,4
炼丹师,疗伤丹,3,8
炼丹师,神力丹,3,8
炼丹师,大还丹,4,8
炼丹师,聚灵丹,4,8
炼丹师,洗髓丹,4,4
炼丹师,冰灵护体丹,5,6
炼丹师,锻体玄丹,5,4
炼丹师,悟道丹,5,4
炼丹师,,,
炼丹师,,,
炼丹师,,,
炼丹师,,,
炼丹师,,,
炼丹师,,,
炼丹师,,,
炼丹师,,,
炼丹师,,,
符咒师,奔雷符,1,8
符咒师,护灵符,1,8
符咒师,锐金符,1,8
符咒师,火云符,2,8
符咒师,清心咒,2,8
符咒师,水气符,2,8
符咒师,寒冰咒,3,8
符咒师,吸灵符,3,8
符咒师,瘴气符,3,8
符咒师,聚气咒,4,8
符咒师,扰心符,4,8
符咒师,弱体符,4,8
符咒师,镇魂封元符,5,6
符咒师,千里神行,5,6
符咒师,万邪入体咒,5,6
符咒师,,,
符咒师,,,
符咒师,,,
符咒师,,,
符咒师,,,
符咒师,,,
符咒师,,,
符咒师,,,
符咒师,,,
琴师,破音,1,8
琴师,土行曲,1,8
琴师,逍遥曲,1,8
琴师,慈念曲,2,8
琴师,幻音曲,2,8
琴师,天灵曲,2,8
琴师,断肠曲,3,8
琴师,狂舞曲,3,8
琴师,轮指连音,3,8
琴师,回春曲,4,8
琴师,九煞破灵曲,4,8
琴师,同心曲,4,8
琴师,天音困仙曲,5,6
琴师,幽绪乱心曲,5,6
琴师,转弦合调,5,6
琴师,,,
琴师,,,
琴师,,,
琴师,,,
琴师,,,
琴师,,,
琴师,,,
琴师,,,
琴师,,,
画师,调色,1,8
画师,练笔,1,4
画师,研墨,1,8
画师,笔走龙蛇,2,8
画师,画饼充饥,2,8
画师,画蛇添足,2,8
画师,挥毫泼墨,3,8
画师,灵感迸发,3,8
画师,以画入道,3,4
画师,触类旁通,4,4
画师,神来之笔,4,8
画师,落纸云烟,4,8
画师,运笔如飞,5,6
画师,画龙点睛,5,6
画师,妙笔生花,5,6
画师,,,
画师,,,
画师,,,
画师,,,
画师,,,
画师,,,
画师,,,
画师,,,
画师,,,
阵法师,引雷阵,1,8
阵法师,碎杀阵,1,8
阵法师,冲击阵纹,1,8
阵法师,龟甲阵,2,8
阵法师,邪蛊阵,2,8
阵法师,疗愈阵纹,2,8
阵法师,聚灵阵,3,8
阵法师,周天剑阵,3,8
阵法师,辟邪阵纹,3,8
阵法师,天罡聚力阵,4,8
阵法师,八门金锁阵,4,8
阵法师,不动金刚阵,4,8
阵法师,万花迷魂阵,5,6
阵法师,回响阵纹,5,6
阵法师,须弥阵纹,5,6
阵法师,,,
阵法师,,,
阵法师,,,
阵法师,,,
阵法师,,,
阵法师,,,
阵法师,,,
阵法师,,,
阵法师,,,
灵植师,归元草,1,4
灵植师,金棱兰,1,4
灵植师,剑枝竹,1,8
灵植师,神力草,2,4
灵植师,神秘种子,2,8
灵植师,叶盾花,2,8
灵植师,愈甘菊,3,4
灵植师,灵植浇灌,3,4
灵植师,向灵葵,3,8
灵植师,飞枭灵芝,4,4
灵植师,穿肠紫蕨,4,4
灵植师,冰封雪莲,4,8
灵植师,玄韵道果,5,4
灵植师,空间灵田,5,6
灵植师,缚仙古藤,5,6
灵植师,,,
灵植师,,,
灵植师,,,
灵植师,,,
灵植师,,,
灵植师,,,
灵植师,,,
灵植师,,,
灵植师,,,
命理师,卜命,1,8
命理师,察体,1,8
命理师,天谕•守,1,8
命理师,探灵,2,8
命理师,凶象,2,8
命理师,天运•避凶,2,8
命理师,吉运初显,3,8
命理师,血光之灾,3,8
命理师,天命•飞逝,3,8
命理师,万事如意,4,8
命理师,诸事不宜,4,8
命理师,天星•牵引,4,8
命理师,厄劫缠身,5,6
命理师,命运轮回,5,6
命理师,天机•顺应,5,6
命理师,,,
命理师,,,
命理师,,,
命理师,,,
命理师,,,
命理师,,,
命理师,,,
命理师,,,
命理师,,,
